,坤,艮,坎,巽,震,离,兑,乾
坤,坤,谦,师,升,复,明夷,临,泰
艮,剥,艮,蒙,蛊,颐,贲,损,大畜
坎,比,蹇,坎,井,屯,既济,节,需
巽,观,渐,涣,巽,益,家人,中孚,小畜
震,豫,小过,解,恒,震,丰,归妹,大壮
离,晋,旅,未济,鼎,噬嗑,离,睽,大有
兑,萃,咸,困,大过,随,革,兑,夬
乾,否,遁,讼,姤,无妄,同人,履,乾
